"Oh, okay.",neutral
I do-I do,joy
I’m here!,neutral
"Look at that, she just put her hand on his thigh...",neutral
"Umm, slight change of plans. We've shut down.",sadness
"I needed a plan, a plan to get over my man.",anger
"Uh, Kristen Riggs, this is Carol Willick.",neutral
What?,surprise
Hi everyone.,neutral
"Ohh, how is he?",surprise
"That's right baby! Okay, what do I want now?",joy
"You know, I knew a girl in high school who did that. She was",neutral
"Now all you have to do is just get through a little bit more, okay?",neutral
"No, that was Dana Caplin.",neutral
"Hey, you know our phone's not working?",surprise
"Uh, Phoebe we've been getting complaints and uh, we're gonna move you to a less high-profile spot.",neutral
He was unbelievable.,joy
You got,neutral
"I didn’t even realise how late it was, until I noticed the 5 o’clock shadow on her head.",neutral
"And also, congratulations on your wedding.",joy
"Things that move me. The, the shadow of a tree, a child laughing, or this lip.",neutral
"Did anybody else feel they just wanted to peel the skin off their body, to have something else to do?",disgust
I had a bra.,neutral
"Oh no, no, no, wait, wait, Isabella.",joy
I don’t know.  A cowboy theme?,neutral
Pathetic mess?,neutral
"I know we're not, but  Frank Medeio and...  Eva Trorro... womba...",neutral
"You guys'll scooch, won't you?",neutral
Yeah-yeah I like that but just to go in another direction,neutral
Hold on!,anger
"Well I just, thought maybe you'd wanna book some time with the best you'd ever had.",neutral
Nothing.,anger
Don’t you look at her you sick bastard!,anger
Bye.,neutral
Ezels!!,disgust
Hi!,anger
"So, just tell me the truth!",anger
"I mean... uh, did you know you were  mouthing the words along with me?",neutral
"Yeah, well that's how mad I am!!",anger
This is a hospital.,neutral
Speech! Speech! Let’s hear from the birthday girl! Huh?,joy
"Oh, he needed some time to grieve.",neutral
Okay.,neutral
Uh-huh.,neutral
Jam.,neutral
"I'm sorry, but that's my happy place.",sadness
I always knew she liked him!,anger
"No, I will. I’m just not up for it tonight.",neutral
"Hey, hey, hey, her stuff wasn't in it.",neutral
Correct. Her actual favorite movie is...,neutral
"No, it's ok! Made me feel like a rock star!",joy
Age?,neutral
"When? Today? Some, not a lot.",surprise
Not 700 exactly?,surprise
That’s not a state Joe.,neutral
Right!,joy
I can't,neutral
"Oh yeah, it must be tough to keep your hands of him, huh?",neutral
He started it!,anger
"Yes, I suppose I am a dog. But Issac, see I-I happen to have a girlfriend.",neutral
So you still in touch with anyone from high school?,neutral
"Oh, and then Monica joked that she wouldn’t go out with a guy like Chandler...",neutral
"Me too, we should get goin'.",neutral
You're nose is bleeding!,surprise
"Oh, you didn’t see the Post?",surprise
"I don’t wanna speak, I don’t wanna think.",neutral
You two could really hit it off! I'm gonna go mingle.,joy
"Great, now he's waving back.",disgust
Absolutely!,joy
"Hey, uh-hey, why don’t we get some shoes on ya, huh?",neutral
It's just 'cause I couldn't be there.,neutral
"Oh well, okay, good luck.",joy
"Petrie, right, right. Okay, some people gonna be working",neutral
You’re gonna love me so much. I got Sting tickets!!,joy
"Well, she’s not going to find them lying in the grass like that.",neutral
We have a good time.,joy
Hello.,neutral
"Uh, Pheebs? Who's George Snuffalopagus?",neutral
"It’s so good.  Oh, thanks.",joy
It's not funny!,anger
"Oh well, give it time.",neutral
Hi!,joy
Hey.  Soaps? Shampoos? Are you really taking all this stuff?,surprise
They’ve been taping those people up there all day.,neutral
